Посольства и консульства;Кыргызстан;г. Москва;Посольство Кыргызстана в РФ;г. Москва, ул. Большая Ордынка, д.64;55.732337;37.623891;" 8(499) 237-48-82
 8(499) 237-46-01";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г. Москва;Консульский отдел Посольства Кыргызстана в Москве;г. Москва, ул. Большая Ордынка, д.62, стр.2;55.732663;37.6237891;" 8(499) 238-33-04
 8(499) 230-11-17";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Екатеринбург;Генеральное консульство Кыргызской республики в г. Екатеринбурге;г. Екатеринбург, ул. Щорса, 54а, офис 5;56.8108152;60.6199347;" 8(343) 223-68-12
 8(343) 223-68-13
 8(343) 223-68-14
 8(343) 223-68-15";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Новосибирск;Вице-консульство Кыргызской Республики в г.Новосибирске;г.Новосибирск, ул. Крылова, 64/1;55.0417601;82.9389707;" 8(383) 210-66-24
 8(383) 319-07-62";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Красноярск;Отделение Посольства КР в РФ в г.Красноярске;г.Красноярск, проспект Мира, д.132;56.010614;92.83840699999999; 8(391) 234-34-08;"Пн-Пт с 9:00 до 18:00 обед с 13:30 до 14:30
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Владивосток;Отделение Посольства КР в РФ в г.Владивостоке;г.Владивосток, ул.Алеутская, д. 15 “В”, офис 402;43.11399429999999;131.8814618; 8(924) 725-17-56;"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Санкт-Петербург;Отделение Посольства КР в РФ в г.Санкт-Петербурге;г.Санкт-Петербург, Невский проспект д.150;59.928755;30.37317509999999;" 8(812) 418-24-22
 8(900) 634-90-95 
 8(962) 688-25-06";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Санкт-Петербург;Почетное консульство КР в г.Санкт-Петербург;г.Санкт-Петербург, Набережная реки Фонтанки, д.76, лит А, пом.15Н;59.92660530000001;30.3350639;" 8(812) 717-00-27
 8(921) 939-35-40";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Краснодар;Почетное консульство КР в г.Краснодаре;г.Краснодар, ул. В.Головатого, 313 литер «А»;45.0398887;38.9734448; 8(988) 245-43-02;"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
Посольства и консульства;Кыргызстан;г.Оренбург;Почетное консульство КР в г.Оренбурге;г.Оренбург, пер.Свободина, д.4, офис 101а;51.767239;55.0930295;" 8(3532) 24-96-88
 8(909) 605-28-05 ";"Пн-Пт с 9:00 до 18:00, обед с 13:00 до 14:00
Приём документов с 9:00 до 13:00
Выдача документов с 16:00 до 18:00"
